"","Down","FP","10","11","12","13","14","15","16","17","18","19","20"
"18",1,18,0.518555438861769,0.414755234150748,0.310955029439728,0.207154824728707,0.103354620017686,-0.000445584693334,-0.104245789404355,-0.208045994115375,-0.311846198826396,-0.415646403537416,-0.519446608248437
"19",1,19,0.577571596979017,0.473771392267996,0.369971187556976,0.266170982845955,0.162370778134935,0.0585705734239144,-0.0452296312871063,-0.149029835998127,-0.252830040709147,-0.356630245420168,-0.460430450131188
"20",1,20,0.636587755096265,0.532787550385245,0.428987345674224,0.325187140963204,0.221386936252183,0.117586731541163,0.0137865268301418,-0.0900136778808784,-0.193813882591899,-0.29761408730292,-0.40141429201394
"21",1,21,0.695603913213514,0.591803708502493,0.488003503791472,0.384203299080452,0.280403094369431,0.176602889658411,0.0728026849473902,-0.0309975197636301,-0.134797724474651,-0.238597929185671,-0.342398133896692
"22",1,22,0.754620071330762,0.650819866619741,0.547019661908721,0.4432194571977,0.339419252486679,0.235619047775659,0.131818843064638,0.0280186383536181,-0.0757815663574026,-0.179581771068423,-0.283381975779444
"23",1,23,0.81363622944801,0.709836024736989,0.606035820025969,0.502235615314948,0.398435410603928,0.294635205892907,0.190835001181886,0.0870347964708662,-0.0167654082401545,-0.120565612951175,-0.224365817662195
"24",1,24,0.872652387565258,0.768852182854238,0.665051978143217,0.561251773432197,0.457451568721176,0.353651364010156,0.249851159299135,0.146050954588115,0.0422507498770939,-0.0615494548339268,-0.165349659544947
"25",1,25,0.931668545682506,0.827868340971486,0.724068136260465,0.620267931549445,0.516467726838424,0.412667522127404,0.308867317416383,0.205067112705363,0.101266907994342,-0.00253329671667868,-0.106333501427699
"26",1,26,0.990684703799755,0.886884499088734,0.783084294377714,0.679284089666693,0.575483884955672,0.471683680244652,0.367883475533631,0.264083270822611,0.16028306611159,0.0564828614005697,-0.0473173433104506
"27",1,27,1.049700861917,0.945900657205982,0.842100452494962,0.738300247783941,0.634500043072921,0.5306998383619,0.426899633650879,0.323099428939859,0.219299224228839,0.115499019517818,0.0116988148067976
"28",1,28,1.10871702003425,1.00491681532323,0.90111661061221,0.797316405901189,0.693516201190169,0.589715996479148,0.485915791768128,0.382115587057107,0.278315382346087,0.174515177635066,0.0707149729240457
"29",1,29,1.1677331781515,1.06393297344048,0.960132768729458,0.856332564018438,0.752532359307417,0.648732154596397,0.544931949885376,0.441131745174356,0.337331540463335,0.233531335752314,0.129731131041294
"30",1,30,1.22674933626875,1.12294913155773,1.01914892684671,0.915348722135686,0.811548517424665,0.707748312713645,0.603948108002624,0.500147903291604,0.396347698580583,0.292547493869562,0.188747289158542
"31",1,31,1.285765494386,1.18196528967498,1.07816508496395,0.974364880252934,0.870564675541914,0.766764470830893,0.662964266119872,0.559164061408852,0.455363856697832,0.351563651986811,0.247763447275791
"32",1,32,1.34478165250324,1.24098144779222,1.1371812430812,1.03338103837018,0.929580833659162,0.825780628948141,0.721980424237121,0.6181802195261,0.51438001481508,0.410579810104059,0.306779605393039
"33",1,33,1.40379781062049,1.29999760590947,1.19619740119845,1.09239719648743,0.98859699177641,0.884796787065389,0.780996582354369,0.677196377643349,0.573396172932328,0.469595968221307,0.365795763510287
"34",1,34,1.46281396873774,1.35901376402672,1.2552135593157,1.15141335460468,1.04761314989366,0.943812945182638,0.840012740471617,0.736212535760597,0.632412331049576,0.528612126338555,0.424811921627535
"35",1,35,1.52183012685499,1.41802992214397,1.31422971743295,1.21042951272193,1.10662930801091,1.00282910329989,0.899028898588865,0.795228693877845,0.691428489166825,0.587628284455804,0.483828079744784
"36",1,36,1.58084628497224,1.47704608026122,1.3732458755502,1.26944567083918,1.16564546612815,1.06184526141713,0.958045056706113,0.854244851995093,0.750444647284072,0.646644442573052,0.542844237862032
"37",1,37,1.63986244308949,1.53606223837846,1.43226203366744,1.32846182895642,1.2246616242454,1.12086141953438,1.01706121482336,0.913261010112342,0.809460805401321,0.7056606006903,0.60186039597928
"38",1,38,1.69887860120673,1.59507839649571,1.49127819178469,1.38747798707367,1.28367778236265,1.17987757765163,1.07607737294061,0.97227716822959,0.868476963518569,0.764676758807548,0.660876554096528
"39",1,39,1.75789475932398,1.65409455461296,1.55029434990194,1.44649414519092,1.3426939404799,1.23889373576888,1.13509353105786,1.03129332634684,0.927493121635817,0.823692916924796,0.719892712213776
"40",1,40,1.81691091744123,1.71311071273021,1.60931050801919,1.50551030330817,1.40171009859715,1.29790989388613,1.19410968917511,1.09030948446409,0.986509279753065,0.882709075042045,0.778908870331025
"41",1,41,1.87592707555848,1.77212687084746,1.66832666613644,1.56452646142542,1.4607262567144,1.35692605200338,1.25312584729235,1.14932564258133,1.04552543787031,0.941725233159293,0.837925028448273
