"","Down","FP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"11",3,11,-0.476119890431687,-0.579920095142708,-0.683720299853728,-0.787520504564749,-0.891320709275769,-0.99512091398679,-1.09892111869781,-1.20272132340883,-1.30652152811985,-1.41032173283087,-1.51412193754189,-1.61792214225291,-1.72172234696393,-1.82552255167495,-1.92932275638597,-2.03312296109699,-2.13692316580802,-2.24072337051904,-2.34452357523006,-2.44832377994108
"12",3,12,-0.417103732314439,-0.520903937025459,-0.62470414173648,-0.728504346447501,-0.832304551158521,-0.936104755869542,-1.03990496058056,-1.14370516529158,-1.2475053700026,-1.35130557471362,-1.45510577942464,-1.55890598413566,-1.66270618884669,-1.76650639355771,-1.87030659826873,-1.97410680297975,-2.07790700769077,-2.18170721240179,-2.28550741711281,-2.38930762182383
"13",3,13,-0.358087574197191,-0.461887778908211,-0.565687983619232,-0.669488188330252,-0.773288393041273,-0.877088597752293,-0.980888802463314,-1.08468900717433,-1.18848921188535,-1.29228941659638,-1.3960896213074,-1.49988982601842,-1.60369003072944,-1.70749023544046,-1.81129044015148,-1.9150906448625,-2.01889084957352,-2.12269105428454,-2.22649125899556,-2.33029146370658
"14",3,14,-0.299071416079942,-0.402871620790963,-0.506671825501984,-0.610472030213004,-0.714272234924025,-0.818072439635045,-0.921872644346066,-1.02567284905709,-1.12947305376811,-1.23327325847913,-1.33707346319015,-1.44087366790117,-1.54467387261219,-1.64847407732321,-1.75227428203423,-1.85607448674525,-1.95987469145627,-2.06367489616729,-2.16747510087831,-2.27127530558933
"15",3,15,-0.240055257962694,-0.343855462673715,-0.447655667384735,-0.551455872095756,-0.655256076806776,-0.759056281517797,-0.862856486228817,-0.966656690939838,-1.07045689565086,-1.17425710036188,-1.2780573050729,-1.38185750978392,-1.48565771449494,-1.58945791920596,-1.69325812391698,-1.797058328628,-1.90085853333902,-2.00465873805004,-2.10845894276106,-2.21225914747208
"16",3,16,-0.181039099845446,-0.284839304556466,-0.388639509267487,-0.492439713978508,-0.596239918689528,-0.700040123400549,-0.803840328111569,-0.90764053282259,-1.01144073753361,-1.11524094224463,-1.21904114695565,-1.32284135166667,-1.42664155637769,-1.53044176108871,-1.63424196579973,-1.73804217051075,-1.84184237522177,-1.94564257993279,-2.04944278464382,-2.15324298935484
"17",3,17,-0.122022941728198,-0.225823146439218,-0.329623351150239,-0.433423555861259,-0.53722376057228,-0.641023965283301,-0.744824169994321,-0.848624374705341,-0.952424579416362,-1.05622478412738,-1.1600249888384,-1.26382519354942,-1.36762539826044,-1.47142560297146,-1.57522580768248,-1.67902601239351,-1.78282621710453,-1.88662642181555,-1.99042662652657,-2.09422683123759
"18",3,18,-0.0630067836109496,-0.16680698832197,-0.270607193032991,-0.374407397744011,-0.478207602455032,-0.582007807166052,-0.685808011877073,-0.789608216588093,-0.893408421299114,-0.997208626010134,-1.10100883072115,-1.20480903543218,-1.3086092401432,-1.41240944485422,-1.51620964956524,-1.62000985427626,-1.72381005898728,-1.8276102636983,-1.93141046840932,-2.03521067312034
"19",3,19,-0.00399062549370122,-0.107790830204722,-0.211591034915742,-0.315391239626763,-0.419191444337783,-0.522991649048804,-0.626791853759824,-0.730592058470845,-0.834392263181865,-0.938192467892886,-1.04199267260391,-1.14579287731493,-1.24959308202595,-1.35339328673697,-1.45719349144799,-1.56099369615901,-1.66479390087003,-1.76859410558105,-1.87239431029207,-1.97619451500309
"20",3,20,0.0550255326235469,-0.0487746720874735,-0.152574876798494,-0.256375081509515,-0.360175286220535,-0.463975490931556,-0.567775695642576,-0.671575900353597,-0.775376105064617,-0.879176309775638,-0.982976514486658,-1.08677671919768,-1.1905769239087,-1.29437712861972,-1.39817733333074,-1.50197753804176,-1.60577774275278,-1.7095779474638,-1.81337815217482,-1.91717835688584
