"","Down","FP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"24",2,24,1.04897219752849,0.945171992817471,0.84137178810645,0.73757158339543,0.633771378684409,0.529971173973389,0.426170969262368,0.322370764551348,0.218570559840327,0.114770355129307,0.010970150418286,-0.0928300542927345,-0.196630259003755,-0.300430463714776,-0.404230668425796,-0.508030873136817,-0.611831077847837,-0.715631282558858,-0.819431487269878,-0.923231691980898
"25",2,25,1.10798835564574,1.00418815093472,0.900387946223698,0.796587741512678,0.692787536801657,0.588987332090637,0.485187127379616,0.381386922668596,0.277586717957575,0.173786513246555,0.0699863085355341,-0.0338138961754864,-0.137614100886507,-0.241414305597528,-0.345214510308548,-0.449014715019568,-0.552814919730589,-0.65661512444161,-0.76041532915263,-0.86421553386365
"26",2,26,1.16700451376299,1.06320430905197,0.959404104340947,0.855603899629926,0.751803694918906,0.648003490207885,0.544203285496865,0.440403080785844,0.336602876074824,0.232802671363803,0.129002466652782,0.025202261941762,-0.0785979427692585,-0.182398147480279,-0.2861983521913,-0.38999855690232,-0.493798761613341,-0.597598966324361,-0.701399171035382,-0.805199375746402
"27",2,27,1.22602067188024,1.12222046716922,1.01842026245819,0.914620057747174,0.810819853036154,0.707019648325133,0.603219443614113,0.499419238903092,0.395619034192072,0.291818829481051,0.188018624770031,0.0842184200590101,-0.0195817846520103,-0.123381989363031,-0.227182194074051,-0.330982398785072,-0.434782603496092,-0.538582808207113,-0.642383012918133,-0.746183217629154
"28",2,28,1.28503682999748,1.18123662528646,1.07743642057544,0.973636215864423,0.869836011153402,0.766035806442381,0.662235601731361,0.55843539702034,0.45463519230932,0.350834987598299,0.247034782887279,0.143234578176258,0.0394343734652378,-0.0643658312457829,-0.168166035956803,-0.271966240667824,-0.375766445378844,-0.479566650089865,-0.583366854800885,-0.687167059511905
"29",2,29,1.34405298811473,1.24025278340371,1.13645257869269,1.03265237398167,0.92885216927065,0.82505196455963,0.721251759848609,0.617451555137589,0.513651350426568,0.409851145715548,0.306050941004527,0.202250736293507,0.0984505315824862,-0.00534967312853452,-0.109149877839555,-0.212950082550575,-0.316750287261596,-0.420550491972617,-0.524350696683637,-0.628150901394657
"30",2,30,1.40306914623198,1.29926894152096,1.19546873680994,1.09166853209892,0.987868327387899,0.884068122676878,0.780267917965857,0.676467713254837,0.572667508543816,0.468867303832796,0.365067099121775,0.261266894410755,0.157466689699734,0.0536664849887136,-0.0501337197223068,-0.153933924433327,-0.257734129144348,-0.361534333855368,-0.465334538566389,-0.569134743277409
"31",2,31,1.46208530434923,1.35828509963821,1.25448489492719,1.15068469021617,1.04688448550515,0.943084280794126,0.839284076083106,0.735483871372085,0.631683666661065,0.527883461950044,0.424083257239024,0.320283052528003,0.216482847816983,0.112682643105962,0.00888243839494152,-0.094917766316079,-0.198717971027099,-0.30251817573812,-0.40631838044914,-0.510118585160161
"32",2,32,1.52110146246648,1.41730125775546,1.31350105304444,1.20970084833342,1.1059006436224,1.00210043891137,0.898300234200354,0.794500029489333,0.690699824778313,0.586899620067292,0.483099415356272,0.379299210645251,0.275499005934231,0.17169880122321,0.0678985965121897,-0.0359016081988308,-0.139701812909851,-0.243502017620872,-0.347302222331892,-0.451102427042912
"33",2,33,1.58011762058373,1.4763174158727,1.37251721116168,1.26871700645066,1.16491680173964,1.06111659702862,0.957316392317602,0.853516187606582,0.749715982895561,0.645915778184541,0.54211557347352,0.438315368762499,0.334515164051479,0.230714959340458,0.126914754629438,0.0231145499184173,-0.0806856547926031,-0.184485859503624,-0.288286064214644,-0.392086268925664
